ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K0	Data
819	Armstrong	Armstrong.01	50	1.08	1	35.79817	-82.11271	Hatchery	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0
820	Bellefonte	HATC8.01	31	1.08	1.02	40.88183	-77.79431	Hatchery	0	0	0.408258065	0	0	0.516290323	0	0	0	0	0	0	0	0	0	0.075451613	0-0-40.8-0-0-51.6-0-0-0-0-0-0-0-0-0-7.5
821	Berlin	HATC10.001	50	1.07	1	44.50523	-71.33618	Hatchery	0	0	0	0	0	0.985	0	0	0	0	0	0	0	0	0	0.015	0-0-0-0-0-98.5-0-0-0-0-0-0-0-0-0-1.5
822	Big Hill Pond	HATC5.01	55	1.07	1.02	44.1297	-75.27404	Hatchery	0	0	0.903563636	0	0	0	0	0	0	0	0	0	0	0	0	0.0964	0-0-90.4-0-0-0-0-0-0-0-0-0-0-0-0-9.6
823	Edray	HATC9.01	21	1.06	1	38.26999	-80.10542	Hatchery	0	0	0	0	0	0.999952381	0	0	0	0	0	0	0	0	0	4.7619E-05	0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0
824	Hyde Pond	HATC3.01	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	0	0	0.831828571	0	0	0.1388	0	0	0	0	0	0	0	0	0	0.029314286	0-0-83.2-0-0-13.9-0-0-0-0-0-0-0-0-0-2.9
825	Milford 1	HATC11.001	50	1.05	1	42.8511	-71.68892	Hatchery	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0
826	Milford 2	HATC12.001	50	1.05	1.02	42.8511	-71.68892	Hatchery	0	0	0	0	0	0.99418	0	0	0	0	0	0	0	0	0	0.00582	0-0-0-0-0-99.4-0-0-0-0-0-0-0-0-0-0.6
827	Milford 3	HATC13.001	50	1.04	1	42.8511	-71.68892	Hatchery	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0
828	Mountain Pond	HATC4.01	31	1.04	1.02	43.70707	-74.87641	Hatchery	0	0	0.860096774	0	0	0.124645161	0	0	0	0	0	0	0	0	0	0.015258065	0-0-86-0-0-12.5-0-0-0-0-0-0-0-0-0-1.5
829	Paint Bank	PaintBank.01	50	1.03	1	37.55359	-80.24452	Hatchery	0	0	0	0.99984	0	0	0	0	0	0	0	0	0	0	0	0.00016	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0
830	Pequest	HATC7.01	20	1.03	1.02	40.8367	-74.95076	Hatchery	0	0	0.6653	0	0	0.26205	0	0	0	0	0	0	0	0	0	0.07265	0-0-66.5-0-0-26.2-0-0-0-0-0-0-0-0-0-7.3
831	Phillips	HATC1.001	60	1.02	1	44.87579	-70.40833	Hatchery	0	0	0.242516667	0	0	0.757416667	0	0	0	0	0	0	0	0	0	6.66667E-05	0-0-24.3-0-0-75.7-0-0-0-0-0-0-0-0-0-0
832	Pisgah	Pisgah.01	50	1.02	1.02	35.2846	-82.79404	Hatchery	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0
833	Randolph	DS03.001	30	1.01	1	42.15462	-78.94032	Hatchery	0	0	0	0	0	0.933333333	0	0	0	0	0	0	0	0	0	0.066666667	0-0-0-0-0-93.3-0-0-0-0-0-0-0-0-0-6.7
834	Rome	HATC6.01	50	1.01	1.02	43.26351	-75.43714	Hatchery	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0
835	Sandwich	HATC2.001	37	1	1	41.75278	-70.48943	Hatchery	0	0	0.129783784	0	0	0.841675676	0	0	0	0	0	0	0	0	0	0.028486486	0-0-13-0-0-84.2-0-0-0-0-0-0-0-0-0-2.8
836	Tellico	TN06.001	68	1	1.02	35.28886	-84.09845	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424926471	0.566808824	0.008279412	0-0-0-0-0-0-0-0-0-0-0-0-0-42.5-56.7-0.8
