ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	K1	K2	K3	K4	K5	K6	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	35.79817	-82.11271	Hatchery	0.967	0.005	0.006	0.012	0.004	0.005	96.7-0.5-0.6-1.2-0.4-0.5
820	Bellefonte	[HATC8-01]	31	1.08	1.02	40.88183	-77.79431	Hatchery	0.797	0.014	0.021	0.148	0.013	0.007	79.7-1.4-2.1-14.8-1.3-0.7
821	Berlin	[HATC10-001]	50	1.07	1	44.50523	-71.33618	Hatchery	0.982	0.003	0.004	0.005	0.003	0.003	98.2-0.3-0.4-0.5-0.3-0.3
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	44.1297	-75.27404	Hatchery	0.36	0.02	0.016	0.56	0.02	0.024	36-2-1.6-56-2-2.4
823	Edray	[HATC9-01]	21	1.06	1	38.26999	-80.10542	Hatchery	0.969	0.006	0.003	0.005	0.007	0.01	96.9-0.6-0.3-0.5-0.7-1
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	0.678	0.007	0.008	0.294	0.005	0.008	67.8-0.7-0.8-29.4-0.5-0.8
825	Milford 1	[HATC11-001]	50	1.05	1	42.8511	-71.68892	Hatchery	0.984	0.003	0.003	0.004	0.003	0.003	98.4-0.3-0.3-0.4-0.3-0.3
826	Milford 2	[HATC12-001]	50	1.05	1.02	42.8511	-71.68892	Hatchery	0.981	0.004	0.004	0.006	0.003	0.003	98.1-0.4-0.4-0.6-0.3-0.3
827	Milford 3	[HATC13-001]	50	1.04	1	42.8511	-71.68892	Hatchery	0.984	0.003	0.003	0.004	0.003	0.003	98.4-0.3-0.3-0.4-0.3-0.3
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	43.70707	-74.87641	Hatchery	0.815	0.016	0.011	0.121	0.006	0.031	81.5-1.6-1.1-12.1-0.6-3.1
829	Paint Bank	[PaintBank-01]	50	1.03	1	37.55359	-80.24452	Hatchery	0.763	0.019	0.011	0.16	0.031	0.016	76.3-1.9-1.1-16-3.1-1.6
830	Pequest	[HATC7-01]	20	1.03	1.02	40.8367	-74.95076	Hatchery	0.702	0.009	0.01	0.249	0.019	0.01	70.2-0.9-1-24.9-1.9-1
831	Phillips	[HATC1-001]	60	1.02	1	44.87579	-70.40833	Hatchery	0.901	0.008	0.012	0.071	0.005	0.004	90.1-0.8-1.2-7.1-0.5-0.4
832	Pisgah	[Pisgah-01]	50	1.02	1.02	35.2846	-82.79404	Hatchery	0.972	0.004	0.008	0.007	0.004	0.005	97.2-0.4-0.8-0.7-0.4-0.5
833	Randolph	[DS03-001]	30	1.01	1	42.15462	-78.94032	Hatchery	0.983	0.004	0.003	0.004	0.003	0.003	98.3-0.4-0.3-0.4-0.3-0.3
834	Rome	[HATC6-01]	50	1.01	1.02	43.26351	-75.43714	Hatchery	0.984	0.003	0.003	0.004	0.003	0.003	98.4-0.3-0.3-0.4-0.3-0.3
835	Sandwich	[HATC2-001]	37	1	1	41.75278	-70.48943	Hatchery	0.942	0.009	0.005	0.025	0.012	0.007	94.2-0.9-0.5-2.5-1.2-0.7
836	Tellico	[TN06-001]	68	1	1.02	35.28886	-84.09845	Hatchery	0.004	0.021	0.005	0.004	0.875	0.091	0.4-2.1-0.5-0.4-87.5-9.1
